precision,recall,terms,label,tool,tissue
0.9772727272727273,0.27388535031847133,44,BEHST(3D),1,Limb
0.21052631578947367,0.025477707006369428,19,BEHST(Linear),1,Limb
0.7764705882352941,0.42038216560509556,85,BEHST(3D+linear),1,Limb
0.3861003861003861,0.6369426751592356,259,GREAT,4,Limb
0.4280701754385965,0.7770700636942676,285,GREAT-gProfiler,5,Limb
0.1411483253588516,0.375796178343949,418,ChIP-Enrich,2,Limb
0.6140350877192983,0.2229299363057325,57,ChIP-Enrich-gProfiler,3,Limb
0.9019607843137255,0.20087336244541484,51,BEHST(3D),1,Forebrain
0.9312977099236641,0.5327510917030568,131,BEHST(Linear),1,Forebrain
0.8181818181818182,0.5502183406113537,154,BEHST(3D+linear),1,Forebrain
0.7517241379310344,0.4759825327510917,145,GREAT,4,Forebrain
0.8389261744966443,0.5458515283842795,149,GREAT-gProfiler,5,Forebrain
0.2323943661971831,0.5764192139737991,568,ChIP-Enrich,2,Forebrain
0.7611336032388664,0.8209606986899564,247,ChIP-Enrich-gProfiler,3,Forebrain
0.5384615384615384,0.27631578947368424,39,BEHST(3D),1,Midbrain
0.525,0.8289473684210527,120,BEHST(Linear),1,Midbrain
0.460431654676259,0.8421052631578947,139,BEHST(3D+linear),1,Midbrain
0.218562874251497,0.9605263157894736,334,GREAT,4,Midbrain
0.2356902356902357,0.9210526315789472,297,GREAT-gProfiler,5,Midbrain
0.0583804143126177,0.4078947368421052,531,ChIP-Enrich,2,Midbrain
0.3162393162393162,0.9736842105263158,234,ChIP-Enrich-gProfiler,3,Midbrain
0.0,0.0,39,BEHST(3D),1,Hindbrain
0.008264462809917356,0.5,121,BEHST(Linear),1,Hindbrain
0.0,0.0,146,BEHST(3D+linear),1,Hindbrain
0.0034722222222222,0.5,288,GREAT,4,Hindbrain
0.0031645569620253,0.5,316,GREAT-gProfiler,5,Hindbrain
0.0040322580645161,1.0,496,ChIP-Enrich,2,Hindbrain
0.0046948356807511,0.5,213,ChIP-Enrich-gProfiler,3,Hindbrain
0.0,0.0,1,BEHST(3D),1,Heart
1.0,0.016025641025641024,5,BEHST(linear),1,Heart
1.0,0.009615384615384616,3,BEHST(3D+linear),1,Heart
0.2396694214876033,0.0929487179487179,121,GREAT,4,Heart
0.0701754385964912,0.0128205128205128,57,GREAT-gProfiler,5,Heart
0.1462962962962962,0.2532051282051282,540,ChIP-Enrich,2,Heart
0.3333333333333333,0.0032051282051282,3,ChIP-Enrich-gProfiler,3,Heart
